------------------------------
  Elements     Atomic Weight  
------------------------------
  1.	C         12.01099968
  2.	H          1.00800002
  3.	O         15.99899960
  4.	N         14.00699997
  5.	HE         4.00299978
  6.	AR        39.94800186
------------------------------


------------------------------------------------------------------------------------------------------------------------------
                                                Molecular        Temperature        Elements
  Species                  Phase  Charge         weight         Low      High       C       H       O       N      HE      AR
   76. SC3H5OH               G      0           58.079999    300.00   3500.00       3       6       1       0       0       0
   77. C3H5OH                G      0           58.079999    300.00   3500.00       3       6       1       0       0       0
   78. CH2CCH2OH             G      0           57.071999    300.00   3500.00       3       5       1       0       0       0
   79. C3H4-P                G      0           40.064999    300.00   3500.00       3       4       0       0       0       0
   80. C3H4-A                G      0           40.064999    300.00   3500.00       3       4       0       0       0       0
   81. C3H3                  G      0           39.056999    300.00   3500.00       3       3       0       0       0       0
   82. C3H2                  G      0           38.048999    300.00   3500.00       3       2       0       0       0       0
   83. C2H5CHO               G      0           58.079999    300.00   3500.00       3       6       1       0       0       0
   84. CH2CH2CHO             G      0           57.071999    300.00   3500.00       3       5       1       0       0       0
   85. RALD3                 G      0           57.071999    300.00   3500.00       3       5       1       0       0       0
   86. C2H3CHO               G      0           56.063999    300.00   3500.00       3       4       1       0       0       0
   87. CH3COCH3              G      0           58.079999    300.00   3500.00       3       6       1       0       0       0
   88. CH3COCH2              G      0           57.071999    300.00   3500.00       3       5       1       0       0       0
   89. NC4H10                G      0           58.123999    300.00   3500.00       4      10       0       0       0       0
   90. PC4H9                 G      0           57.115999    300.00   3500.00       4       9       0       0       0       0
   91. SC4H9                 G      0           57.115999    300.00   3500.00       4       9       0       0       0       0
   92. IC4H10                G      0           58.123999    300.00   3500.00       4      10       0       0       0       0
   93. IC4H9                 G      0           57.115999    300.00   3500.00       4       9       0       0       0       0
   94. TC4H9                 G      0           57.115999    300.00   3500.00       4       9       0       0       0       0
   95. IC4H8                 G      0           56.107999    300.00   3500.00       4       8       0       0       0       0
   96. IC4H7                 G      0           55.099999    300.00   3500.00       4       7       0       0       0       0
   97. IC4H7O                G      0           71.098998    300.00   3500.00       4       7       1       0       0       0
   98. C4H8-1                G      0           56.107999    300.00   3500.00       4       8       0       0       0       0
   99. C4H8-2                G      0           56.107999    300.00   3500.00       4       8       0       0       0       0
  100. C4H71-3               G      0           55.099999    300.00   3500.00       4       7       0       0       0       0
  101. C4H71-4               G      0           55.099999    300.00   3500.00       4       7       0       0       0       0
