------------------------------
  Elements     Atomic Weight  
------------------------------
  1.	C         12.01099968
  2.	H          1.00800002
  3.	O         15.99899960
  4.	N         14.00699997
  5.	HE         4.00299978
  6.	AR        39.94800186
------------------------------


------------------------------------------------------------------------------------------------------------------------------
                                                Molecular        Temperature        Elements
  Species                  Phase  Charge         weight         Low      High       C       H       O       N      HE      AR
         k:       1.040000e+05	    2.00      14404.74


   2974. MCPTD + C10H6CH3  => H + 0.85C6H6 + 0.15FULVENE + C10H7CH3 
         k:       2.960000e+08	    1.00       1067.64


   2975. MCPTD + C6H4O  => H + 0.85C6H6 + 0.15FULVENE + C6H5O 
         k:       2.160000e+05	    2.00      11003.95


   2976. MCPTD + RCATEC  => H + 0.85C6H6 + 0.15FULVENE + CATECHOL 
         k:       1.600000e+05	    2.00       9550.80


   2977. MCPTD + RC7H5O3  => H + 0.85C6H6 + 0.15FULVENE + C7H6O3 
         k:       1.600000e+05	    2.00      11003.95


   2978. MCPTD + RSALICPH  => H + 0.85C6H6 + 0.15FULVENE + SALICALD 
         k:       3.200000e+08	    1.00       1067.64


   2979. MCPTD + RGUAIPH  => H + 0.85C6H6 + 0.15FULVENE + GUAIACOL 
         k:       3.200000e+08	    1.00       1067.64


   2980. MCPTD + RCATEPH  => H + 0.85C6H6 + 0.15FULVENE + CATECHOL 
         k:       3.200000e+08	    1.00       1067.64


   2981. CH3 + MCPTD  => H + CH4 + 0.85C6H6 + 0.15FULVENE 
         k:       3.600000e+05	    2.00       3778.15


   2982. C5H5 + MCPTD  => H + 0.85C6H6 + 0.15FULVENE + C5H6 
         k:       5.000000e+05	    2.00      16500.00


   2983. O2 + NC3H7  = NC3H7O2 
         k:       1.000000e+11	    0.00          0.00
         Pressure Logarithmic Interpolation
         1	1.000000e-02	9.200000e+08	    0.41      -4398.65
         2	1.000000e-01	1.450000e+14	   -0.98      -1710.80
         3	1.000000e+00	2.090000e+13	   -0.50       -938.42
         4	1.000000e+01	1.150000e+20	   -2.42       2451.26
         5	1.000000e+02	2.070000e+16	   -1.30        803.42


   2984. O2 + IC3H7  = IC3H7O2 
         k:       1.000000e+11	    0.00          0.00
         Pressure Logarithmic Interpolation
         1	1.000000e-02	7.330000e+05	    1.33      -6345.64
         2	1.000000e-01	2.240000e+11	   -0.10      -3697.87
         3	1.000000e+00	1.540000e+18	   -2.02       -498.57
         4	1.000000e+01	6.740000e+27	   -4.85       3779.82
         5	1.000000e+02	1.670000e+29	   -5.15       5036.45


   2985. IC3H7O2  = HO2 + C3H6 
         k:       1.224000e+09	    1.28      30000.00


   2986. NC3H7O2  = HO2 + C3H6 
         k:       6.240000e+08	    1.25      29600.00


   2987. CH3CO2H  => OH + CH3CO 
         k:       1.000000e+16	    0.00     109000.00


   2988. CH3CO2H  = CO2 + CH4 
         k:       4.179000e+14	   -0.31      72507.45
         Pressure Logarithmic Interpolation
         1	9.870000e-02	1.540000e+43	   -8.78      87088.98
         2	9.870000e-01	4.009000e+29	   -4.75      80019.29
         3	9.870000e+00	1.258000e+22	   -2.49      76727.76
         4	9.870000e+01	4.179000e+14	   -0.31      72507.45


   2989. CH3CO2H  = HOCO + CH3 
         k:       7.056000e+36	   -5.89     105725.77
         Pressure Logarithmic Interpolation
         1	9.870000e-02	4.006000e+59	  -13.25     113157.00
         2	9.870000e-01	6.430000e+56	  -12.03     114056.90
         3	9.870000e+00	1.184000e+48	   -9.25     111217.20
         4	9.870000e+01	7.056000e+36	   -5.89     105725.80


   2990. CH3CO2H  = H2O + CH2CO 
         k:       9.440000e+12	    0.25      73083.23
         Pressure Logarithmic Interpolation
         1	9.870000e-02	3.618000e+43	   -8.85      88381.12
         2	9.870000e-01	4.301000e+32	   -5.53      83623.98
         3	9.870000e+00	2.220000e+21	   -2.19      77783.20
         4	9.870000e+01	9.440000e+12	    0.25      73083.23


   2991. CH3O2 + CH3CO3  => O2 + CH2O + CH3CO2H 
         k:       5.000000e+11	    0.00          0.00


   2992. O2 + HCO  => HCO3 
         k:       2.000000e+11	    0.00          0.00


   2993. HCO3  => O2 + HCO 
         k:       7.000000e+12	    0.00      34000.00


   2994. HO2 + HCO3  => O2 + HCO3H 
         k:       2.000000e+11	    0.00          0.00


   2995. CH3O2 + HCO3  => O2 + OH + CO + CH3O 
         k:       2.000000e+11	    0.00          0.00


   2996. HCO3H  => H + OH + CO2 
         k:       2.000000e+14	    0.00      38000.00


   2997. CH3CO3H  => OH + CO2 + CH3 
         k:       1.000000e+15	    0.00      37400.00


   2998. HO2 + CH3CO3  => O2 + CH3CO3H 
         k:       2.000000e+12	    0.00          0.00


   2999. HO2 + CH3CO3  => O2 + OH + CO2 + CH3 
         k:       1.000000e+12	    0.00          0.00


   3000. CH3O2 + CH3CO3  => O2 + CO2 + CH3 + CH3O 
         k:       9.000000e+11	    0.00          0.00


   3001. 2CH3CO3  => O2 + 2CO2 + 2CH3 
         k:       2.500000e+12	    0.00          0.00


   3002. HO2 + C3H6  => 0.65NC3-QOOH + 0.35IC3-QOOH 
         k:       5.000000e+11	    0.00      15000.00


   3003. CH2OHCOCH3  = CH2OH + CH3CO 
         k:       1.000000e+16	    0.00      80000.00


   3004. CH2OHCOCH3  => CO + CH3 + CH2OH 
         k:       1.000000e+16	    0.00      80000.00


   3005. CH2OHCOCH3  = CH2O + CH3CHO 
         k:       4.000000e+13	    0.00      53000.00


   3006. CHOCH2CHO  = HCO + CH2CHO 
         k:       1.000000e+16	    0.00      78000.00


   3007. CHOCH2CHO  = HCO + CH3CO 
         k:       1.000000e+16	    0.00      78000.00


   3008. CH2OHCH2CHO  = HCO + PC2H4OH 
         k:       1.000000e+16	    0.00      82000.00


   3009. CH2OHCH2CHO  = CH2OH + CH2CHO 
         k:       1.000000e+16	    0.00      81000.00


   3010. CH2OHCH2CHO  = H2O + C2H3CHO 
         k:       4.000000e+13	    0.00      51000.00


   3011. CH2OHCH2CHO  = CH2O + CH3CHO 
         k:       4.000000e+13	    0.00      54000.00


   3012. C3H7OOH  => OH + CH2O + C2H5 
         k:       2.000000e+15	    0.00      45500.00


   3013. HO2 + NC3H7  = C3H7OOH 
         k:       3.000000e+12	    0.00          0.00


   3014. HO2 + IC3H7  = C3H7OOH 
         k:       3.000000e+12	    0.00          0.00


   3015. NC3H7O2  => NC3-QOOH 
         k:       3.000000e+11	    0.00      22400.00


   3016. IC3H7O2  => IC3-QOOH 
         k:       1.200000e+12	    0.00      28900.00


   3017. NC3-QOOH  => NC3H7O2 
         k:       5.000000e+10	    0.00      12000.00


   3018. IC3-QOOH  => IC3H7O2 
         k:       3.000000e+11	    0.00      19000.00


   3019. NC3-QOOH  => OH + C3H6O 
         k:       1.500000e+10	    0.00      17000.00


   3020. IC3-QOOH  => OH + C3H6O 
         k:       1.500000e+10	    0.00      18000.00


   3021. IC3-QOOH  => CH2OH + CH3CHO 
         k:       1.000000e+13	    0.00      25500.00


   3022. NC3-QOOH  => OH + CH2O + C2H4 
         k:       4.000000e+12	    0.00      22500.00


   3023. NC3-QOOH  => OH + C2H5CHO 
         k:       2.000000e+12	    0.00      22500.00


   3024. O2 + IC3-QOOH  => IC3-OOQOOH 
         k:       2.000000e+12	    0.00          0.00


   3025. O2 + NC3-QOOH  => NC3-OOQOOH 
         k:       2.000000e+12	    0.00          0.00


   3026. NC3-OOQOOH  => O2 + NC3-QOOH 
         k:       1.200000e+14	    0.00      30000.00


   3027. NC3-OOQOOH  => OH + C3-OQOOH 
         k:       1.000000e+11	    0.00      25500.00


   3028. IC3-OOQOOH  => O2 + IC3-QOOH 
         k:       1.200000e+14	    0.00      30000.00


   3029. IC3-OOQOOH  => OH + C3-OQOOH 
         k:       2.000000e+11	    0.00      25500.00


   3030. C3-OQOOH  => OH + CH2O + 0.2CH3CO + 0.8CH2CHO 
         k:       2.500000e+15	    0.00      42500.00


   3031. C3-OQOOH  => CH2O + CH3CO2H 
         k:       5.700000e+01	    2.13      27500.00


   3032. C3-OQOOH  => CH3CHO + HCOOH 
         k:       4.700000e+01	    2.15      25100.00


   3033. OH + C3-OQOOH  => H2O + OH + CO + C2H4O1-2 
         k:       5.900000e+12	    0.00        630.00


   3034. OH + C3-OQOOH  => H2O + OH + CHOCH2CHO 
         k:       3.500000e+12	    0.00        630.00


   3035. OH + C3-OQOOH  => H2O + HO2 + C2H3CHO 
         k:       1.750000e+12	    0.00        630.00


   3036. OH + C3-OQOOH  => H2O + OH + CH2O + CH2CO 
         k:       4.800000e+12	    0.00        630.00


   3037. OH + C3-OQOOH  => H2O + OH + CO + CH3CHO 
         k:       1.200000e+12	    0.00        630.00


   3038. HO2 + IC3H7O2  = O2 + C3H7OOH 
         k:       1.000000e+11	    0.00      -1200.00


   3039. HO2 + NC3H7O2  = O2 + C3H7OOH 
         k:       1.000000e+11	    0.00      -1200.00


   3040. 2NC3H7O2  => O2 + 2CH2O + 2C2H5 
         k:       2.500000e+10	    0.00          0.00


   3041. 2IC3H7O2  => O2 + 2CH2O + 2C2H5 
         k:       2.500000e+10	    0.00          0.00


   3042. NC3H7O2 + IC3H7O2  => O2 + 2CH2O + 2C2H5 
         k:       2.500000e+10	    0.00          0.00


   3043. 2NC3H7O2  => O2 + C2H5CHO + NC3H7OH 
         k:       2.500000e+10	    0.00          0.00


   3044. 2IC3H7O2  => O2 + CH3COCH3 + IC3H7OH 
         k:       2.500000e+10	    0.00          0.00


   3045. NC3H7O2 + IC3H7O2  => O2 + 0.75C2H5CHO + 0.25CH3COCH3 + 0.75NC3H7OH + 0.25IC3H7OH 
         k:       2.500000e+10	    0.00          0.00


   3046. CH3O2 + NC3H7O2  => O2 + CH3O + CH2O + C2H5 
         k:       1.000000e+11	    0.00          0.00


   3047. CH3O2 + IC3H7O2  => O2 + CH3O + CH2O + C2H5 
         k:       1.000000e+11	    0.00          0.00


   3048. CH3 + NC3H7O2  => CH3O + CH2O + C2H5 
         k:       1.000000e+12	    0.00      -1200.00


   3049. CH3 + IC3H7O2  => CH3O + CH2O + C2H5 
         k:       1.000000e+12	    0.00      -1200.00


   3050. HO2 + IC3-OOQOOH  => O2 + 2OH + CH2O + CH3CHO 
         k:       1.000000e+11	    0.00      -1200.00


   3051. CH3O2 + IC3-OOQOOH  => O2 + CH3O2H + CH2O + CH3CHO 
         k:       1.000000e+11	    0.00      -1200.00


   3052. HO2 + NC3-OOQOOH  => O2 + 2OH + CH2O + CH3CHO 
         k:       1.000000e+11	    0.00      -1200.00


   3053. CH3O2 + NC3-OOQOOH  => O2 + CH3O2H + CH2O + CH3CHO 
         k:       1.000000e+11	    0.00      -1200.00


   3054. OH + CH3CO2H  => H2O + CH2COOH 
         k:       1.897000e+01	    3.51       -196.29


   3055. H + CH3CO2H  => H2 + CH2COOH 
         k:       1.992000e+03	    3.04       5794.45


   3056. CH3 + CH3CO2H  => CH4 + CH2COOH 
         k:       8.693000e+01	    3.16       8175.07


   3057. HO2 + CH3CO2H  => H2O2 + CH2COOH 
         k:       2.282000e-01	    3.83      17550.00


   3058. O2 + CH3CO2H  => HO2 + CH2COOH 
         k:       6.707000e+05	    2.26      50638.87


   3059. OH + CH3CO2H  => H2O + CO2 + CH3 
         k:       1.120000e-01	    4.05      -2753.30


   3060. H + CH3CO2H  => H2 + CO2 + CH3 
         k:       2.138000e+09	    1.30      16754.75


   3061. CH3 + CH3CO2H  => CO2 + CH4 + CH3 
         k:       2.943000e+04	    2.33      13465.19


   3062. HO2 + CH3CO2H  => H2O2 + CO2 + CH3 
         k:       8.898000e+03	    2.33      23111.92


   3063. O2 + CH3CO2H  => HO2 + CO2 + CH3 
         k:       1.700000e+06	    2.00      50025.57


   3064. CH3CO2H  => H + CH2COOH 
         k:       1.320000e+41	   -7.57     114640.30
         Pressure Logarithmic Interpolation
         1	9.870000e-02	2.630000e+57	  -13.36     116418.90
         2	9.870000e-01	6.310000e+58	  -13.25     120010.60
         3	9.870000e+00	8.510000e+52	  -11.19     119545.00
         4	9.870000e+01	1.320000e+41	   -7.57     114640.30


   3065. H + CH2COOH  => CH3CO2H 
         k:       7.949000e+33	   -6.07      10519.41
         Pressure Logarithmic Interpolation
         1	9.870000e-02	5.125000e+51	  -12.27      13728.70
         2	9.870000e-01	4.167000e+51	  -11.75      16115.80
         3	9.870000e+00	1.150000e+45	   -9.51      15069.45
         4	9.870000e+01	7.949000e+33	   -6.07      10519.41


   3066. CH2COOH  = OH + CH2CO 
         k:       1.740000e+29	   -4.37      60089.60
         Pressure Logarithmic Interpolation
         1	9.870000e-02	9.770000e+46	  -10.39      63881.70
         2	9.870000e-01	1.050000e+46	   -9.70      65682.45
         3	9.870000e+00	4.370000e+39	   -7.56      64434.70
         4	9.870000e+01	1.740000e+29	   -4.37      60089.60


   3067. CH2COOH  = CO2 + CH3 
         k:       5.620000e+20	   -2.36      46013.60
         Pressure Logarithmic Interpolation
         1	9.870000e-02	6.760000e+42	   -9.23      54416.66
         2	9.870000e-01	1.380000e+37	   -7.36      53063.72
         3	9.870000e+00	5.620000e+28	   -4.77      49689.70
         4	9.870000e+01	5.620000e+20	   -2.36      46013.60


   3068. H + CH2COOH  = H2O + CH2CO 
         k:       1.620000e+18	   -1.44      11056.50
         Pressure Logarithmic Interpolation
         1	9.870000e-02	2.451000e+21	   -2.62       3165.93
         2	9.870000e-01	2.511000e+25	   -3.69       7510.72
         3	9.870000e+00	5.245000e+26	   -3.94      12089.40
         4	9.870000e+01	1.620000e+18	   -1.44      11056.50


   3069. H + CH2COOH  = CO2 + CH4 
         k:       5.245000e+18	   -1.69      10183.10
         Pressure Logarithmic Interpolation
         1	9.870000e-02	7.046000e+22	   -3.12       3588.08
         2	9.870000e-01	3.981000e+26	   -4.11       7754.05
         3	9.870000e+00	6.624000e+26	   -4.07      11345.50
         4	9.870000e+01	5.245000e+18	   -1.69      10183.10


   3070. H + CH2COOH  = HOCO + CH3 
         k:       2.240000e+22	   -2.26      16097.74
         Pressure Logarithmic Interpolation
         1	9.870000e-02	8.491000e+18	   -1.54       5894.95
         2	9.870000e-01	3.017000e+22	   -2.50       9396.20
         3	9.870000e+00	9.093000e+25	   -3.39      14494.40
         4	9.870000e+01	2.240000e+22	   -2.26      16097.74


   3071. H + C3H7OOH  => H2 + OH + CH3COCH3 
         k:       3.000000e+06	    2.00       2825.33


   3072. CH3 + C3H7OOH  => OH + CH4 + CH3COCH3 
         k:       3.000000e+04	    2.00       3778.15


   3073. C2H3 + C3H7OOH  => OH + C2H4 + CH3COCH3 
         k:       6.780000e+04	    2.00       2730.26


   3074. C2H5 + C3H7OOH  => OH + C2H6 + CH3COCH3 
         k:       2.000000e+04	    2.00       5405.42


   3075. NC3H7 + C3H7OOH  => OH + C3H8 + CH3COCH3 
         k:       1.350000e+04	    2.00       5405.42


   3076. IC3H7 + C3H7OOH  => OH + C3H8 + CH3COCH3 
         k:       1.350000e+04	    2.00       8487.19


   3077. C3H5-S + C3H7OOH  => OH + C3H6 + CH3COCH3 
         k:       2.700000e+04	    2.00       3301.28


   3078. C3H5-T + C3H7OOH  => OH + C3H6 + CH3COCH3 
         k:       2.700000e+04	    2.00       3301.28


   3079. C3H5-A + C3H7OOH  => OH + C3H6 + CH3COCH3 
         k:       5.390000e+04	    2.00      11294.92


   3080. C4H5 + C3H7OOH  => OH + CH3COCH3 + C4H6 
         k:       2.700000e+04	    2.00       3301.28


   3081. C4H71-4 + C3H7OOH  => OH + CH3COCH3 + C4H8-1 
         k:       1.350000e+04	    2.00       5309.47


   3082. C4H71-3 + C3H7OOH  => OH + CH3COCH3 + C4H8-2 
         k:       3.400000e+04	    2.00      12168.47


   3083. IC4H7 + C3H7OOH  => OH + CH3COCH3 + IC4H8 
         k:       2.700000e+04	    2.00      12168.47


   3084. C4H3 + C3H7OOH  => OH + CH3COCH3 + C4H4 
         k:       4.090000e+04	    2.00       3969.14


   3085. C6H5 + C3H7OOH  => OH + CH3COCH3 + C6H6 
         k:       3.700000e+07	    1.00       1067.64


   3086. C5H5 + C3H7OOH  => OH + CH3COCH3 + C5H6 
         k:       3.400000e+04	    2.00      12459.86


   3087. O + C3H7OOH  => 2OH + CH3COCH3 
         k:       2.350000e+06	    2.00       1404.15


   3088. O2 + C3H7OOH  => OH + HO2 + CH3COCH3 
         k:       1.700000e+06	    2.00      41863.68


   3089. OH + C3H7OOH  => H2O + OH + CH3COCH3 
         k:       1.500000e+09	    1.00       -695.37


   3090. HO2 + C3H7OOH  => OH + H2O2 + CH3COCH3 
         k:       8.000000e+05	    2.00      14404.74


   3091. CH3O + C3H7OOH  => OH + CH3OH + CH3COCH3 
         k:       4.280000e+04	    2.00        463.75


   3092. CH2OH + C3H7OOH  => OH + CH3OH + CH3COCH3 
         k:       2.830000e+04	    2.00       8777.08


   3093. HCO + C3H7OOH  => OH + CH2O + CH3COCH3 
         k:       1.260000e+05	    2.00      10810.03


   3094. CH3CO + C3H7OOH  => OH + CH3CHO + CH3COCH3 
         k:       1.350000e+05	    2.00      12459.86


   3095. CH2CHO + C3H7OOH  => OH + CH3CHO + CH3COCH3 
         k:       2.300000e+04	    2.00      10034.85


   3096. C3H3 + C3H7OOH  => OH + C3H4-A + CH3COCH3 
         k:       2.700000e+04	    2.00      12459.86


   3097. HCCO + C3H7OOH  => OH + CH2CO + CH3COCH3 
         k:       4.280000e+04	    2.00       3969.14


   3098. CH3O2 + C3H7OOH  => OH + CH3O2H + CH3COCH3 
         k:       7.600000e+04	    2.00      11100.93


   3099. C2H5O2 + C3H7OOH  => OH + C2H5O2H + CH3COCH3 
         k:       7.600000e+04	    2.00      11100.93


   3100. NC3H7O2 + C3H7OOH  => OH + CH3COCH3 + C3H7OOH 
         k:       7.600000e+04	    2.00      11100.93


   3101. IC3H7O2 + C3H7OOH  => OH + CH3COCH3 + C3H7OOH 
         k:       7.600000e+04	    2.00      11100.93


   3102. C3H7OOH + HCO3  => OH + CH3COCH3 + HCO3H 
         k:       3.400000e+04	    2.00       5213.56


   3103. CH3CO3 + C3H7OOH  => OH + CH3CO3H + CH3COCH3 
         k:       3.400000e+04	    2.00       5213.56


   3104. CH3COCH2 + C3H7OOH  => OH + 2CH3COCH3 
         k:       2.300000e+04	    2.00       6654.87


   3105. C3H7OOH + C6H5O  => OH + CH3COCH3 + C6H5OH 
         k:       5.400000e+04	    2.00      11003.95


   3106. C3H7OOH + C6H4OH  => OH + CH3COCH3 + C6H5OH 
         k:       3.700000e+07	    1.00       1067.64


   3107. C3H7OOH + C5H7  => OH + CH3COCH3 + LC5H8 
         k:       2.700000e+04	    2.00      13431.81


   3108. C3H7OOH + C7H7  => OH + CH3COCH3 + C7H8 
         k:       1.350000e+04	    2.00      14404.74


   3109. C3H7OOH + CH3C6H4  => OH + CH3COCH3 + C7H8 
         k:       3.700000e+07	    1.00       1067.64


   3110. C3H7OOH + RCRESOLO  => OH + CH3COCH3 + CRESOL 
         k:       2.700000e+04	    2.00      11294.92


   3111. C3H7OOH + C10H7  => OH + CH3COCH3 + C10H8 
         k:       3.700000e+07	    1.00       1067.64


   3112. C3H7OOH + C6H5C2H4  => OH + CH3COCH3 + C6H5C2H5 
         k:       2.500000e+04	    2.00      11003.95


   3113. C3H7OOH + C6H5CHCH3  => OH + CH3COCH3 + C6H5C2H5 
         k:       1.800000e+04	    2.00      14404.74


   3114. C3H7OOH + INDENYL  => OH + CH3COCH3 + INDENE 
         k:       1.300000e+04	    2.00      14404.74


   3115. C3H7OOH + C10H6CH3  => OH + CH3COCH3 + C10H7CH3 
         k:       3.700000e+07	    1.00       1067.64


   3116. C3H7OOH + C6H4O  => OH + CH3COCH3 + C6H5O 
         k:       2.700000e+04	    2.00      11003.95


   3117. C3H7OOH + RCATEC  => OH + CH3COCH3 + CATECHOL 
         k:       2.000000e+04	    2.00       9550.80


   3118. C3H7OOH + RC7H5O3  => OH + CH3COCH3 + C7H6O3 
         k:       2.000000e+04	    2.00      11003.95


   3119. C3H7OOH + RSALICPH  => OH + CH3COCH3 + SALICALD 
         k:       4.000000e+07	    1.00       1067.64


   3120. C3H7OOH + RGUAIPH  => OH + CH3COCH3 + GUAIACOL 
         k:       4.000000e+07	    1.00       1067.64


   3121. C3H7OOH + RCATEPH  => OH + CH3COCH3 + CATECHOL 
         k:       4.000000e+07	    1.00       1067.64


   3122. H + C3H7OOH  => H2 + OH + C2H5CHO 
         k:       3.000000e+06	    2.00       4000.00


   3123. CH3 + C3H7OOH  => OH + CH4 + C2H5CHO 
         k:       3.000000e+04	    2.00       5000.00


   3124. C2H3 + C3H7OOH  => OH + C2H4 + C2H5CHO 
         k:       6.780000e+04	    2.00       3900.00


   3125. C2H5 + C3H7OOH  => OH + C2H6 + C2H5CHO 
         k:       2.000000e+04	    2.00       6700.00


   3126. NC3H7 + C3H7OOH  => OH + C3H8 + C2H5CHO 
         k:       1.350000e+04	    2.00       6700.00


   3127. IC3H7 + C3H7OOH  => OH + C3H8 + C2H5CHO 
         k:       1.350000e+04	    2.00       9900.00


   3128. C3H5-S + C3H7OOH  => OH + C3H6 + C2H5CHO 
         k:       2.700000e+04	    2.00       4500.00


   3129. C3H5-T + C3H7OOH  => OH + C3H6 + C2H5CHO 
         k:       2.700000e+04	    2.00       4500.00


   3130. C3H5-A + C3H7OOH  => OH + C3H6 + C2H5CHO 
         k:       5.390000e+04	    2.00      12800.00


   3131. C4H5 + C3H7OOH  => OH + C2H5CHO + C4H6 
         k:       2.700000e+04	    2.00       4500.00


   3132. C4H71-4 + C3H7OOH  => OH + C2H5CHO + C4H8-1 
         k:       1.350000e+04	    2.00       6600.00


   3133. C4H71-3 + C3H7OOH  => OH + C2H5CHO + C4H8-2 
         k:       3.400000e+04	    2.00      13700.00


   3134. IC4H7 + C3H7OOH  => OH + C2H5CHO + IC4H8 
         k:       2.700000e+04	    2.00      13700.00


   3135. C4H3 + C3H7OOH  => OH + C2H5CHO + C4H4 
         k:       4.090000e+04	    2.00       5200.00


   3136. C6H5 + C3H7OOH  => OH + C2H5CHO + C6H6 
         k:       3.700000e+07	    1.00       2000.00


   3137. C5H5 + C3H7OOH  => OH + C2H5CHO + C5H6 
         k:       3.400000e+04	    2.00      14000.00


   3138. O + C3H7OOH  => 2OH + C2H5CHO 
         k:       2.350000e+06	    2.00       2500.00


   3139. O2 + C3H7OOH  => OH + HO2 + C2H5CHO 
         k:       1.700000e+06	    2.00      44000.00


   3140. OH + C3H7OOH  => H2O + OH + C2H5CHO 
         k:       1.500000e+09	    1.00         50.00


   3141. HO2 + C3H7OOH  => OH + H2O2 + C2H5CHO 
         k:       8.000000e+05	    2.00      16000.00


   3142. CH3O + C3H7OOH  => OH + CH3OH + C2H5CHO 
         k:       4.280000e+04	    2.00       1500.00


   3143. CH2OH + C3H7OOH  => OH + CH3OH + C2H5CHO 
         k:       2.830000e+04	    2.00      10200.00


   3144. HCO + C3H7OOH  => OH + CH2O + C2H5CHO 
         k:       1.260000e+05	    2.00      12300.00


   3145. CH3CO + C3H7OOH  => OH + CH3CHO + C2H5CHO 
         k:       1.350000e+05	    2.00      14000.00


   3146. CH2CHO + C3H7OOH  => OH + CH3CHO + C2H5CHO 
         k:       2.300000e+04	    2.00      11500.00


   3147. C3H3 + C3H7OOH  => OH + C3H4-A + C2H5CHO 
         k:       2.700000e+04	    2.00      14000.00


   3148. HCCO + C3H7OOH  => OH + CH2CO + C2H5CHO 
         k:       4.280000e+04	    2.00       5200.00


   3149. CH3O2 + C3H7OOH  => OH + CH3O2H + C2H5CHO 
         k:       7.600000e+04	    2.00      12600.00


   3150. C2H5O2 + C3H7OOH  => OH + C2H5O2H + C2H5CHO 
         k:       7.600000e+04	    2.00      12600.00


   3151. NC3H7O2 + C3H7OOH  => OH + C2H5CHO + C3H7OOH 
         k:       7.600000e+04	    2.00      12600.00


   3152. IC3H7O2 + C3H7OOH  => OH + C2H5CHO + C3H7OOH 
         k:       7.600000e+04	    2.00      12600.00


   3153. C3H7OOH + HCO3  => OH + C2H5CHO + HCO3H 
         k:       3.400000e+04	    2.00       6500.00


   3154. CH3CO3 + C3H7OOH  => OH + CH3CO3H + C2H5CHO 
         k:       3.400000e+04	    2.00       6500.00


   3155. CH3COCH2 + C3H7OOH  => OH + C2H5CHO + CH3COCH3 
         k:       2.300000e+04	    2.00       8000.00


   3156. C3H7OOH + C6H5O  => OH + C2H5CHO + C6H5OH 
         k:       5.400000e+04	    2.00      12500.00


   3157. C3H7OOH + C6H4OH  => OH + C2H5CHO + C6H5OH 
         k:       3.700000e+07	    1.00       2000.00


   3158. C3H7OOH + C5H7  => OH + C2H5CHO + LC5H8 
         k:       2.700000e+04	    2.00      15000.00


   3159. C3H7OOH + C7H7  => OH + C2H5CHO + C7H8 
         k:       1.350000e+04	    2.00      16000.00


   3160. C3H7OOH + CH3C6H4  => OH + C2H5CHO + C7H8 
         k:       3.700000e+07	    1.00       2000.00


   3161. C3H7OOH + RCRESOLO  => OH + C2H5CHO + CRESOL 
         k:       2.700000e+04	    2.00      12800.00


   3162. C3H7OOH + C10H7  => OH + C2H5CHO + C10H8 
         k:       3.700000e+07	    1.00       2000.00


   3163. C3H7OOH + C6H5C2H4  => OH + C2H5CHO + C6H5C2H5 
         k:       2.500000e+04	    2.00      12500.00


   3164. C3H7OOH + C6H5CHCH3  => OH + C2H5CHO + C6H5C2H5 
         k:       1.800000e+04	    2.00      16000.00


   3165. C3H7OOH + INDENYL  => OH + C2H5CHO + INDENE 
         k:       1.300000e+04	    2.00      16000.00


   3166. C3H7OOH + C10H6CH3  => OH + C2H5CHO + C10H7CH3 
         k:       3.700000e+07	    1.00       2000.00


   3167. C3H7OOH + C6H4O  => OH + C2H5CHO + C6H5O 
         k:       2.700000e+04	    2.00      12500.00


   3168. C3H7OOH + RCATEC  => OH + C2H5CHO + CATECHOL 
         k:       2.000000e+04	    2.00      11000.00


   3169. C3H7OOH + RC7H5O3  => OH + C2H5CHO + C7H6O3 
         k:       2.000000e+04	    2.00      12500.00


   3170. C3H7OOH + RSALICPH  => OH + C2H5CHO + SALICALD 
         k:       4.000000e+07	    1.00       2000.00


   3171. C3H7OOH + RGUAIPH  => OH + C2H5CHO + GUAIACOL 
         k:       4.000000e+07	    1.00       2000.00


   3172. C3H7OOH + RCATEPH  => OH + C2H5CHO + CATECHOL 
         k:       4.000000e+07	    1.00       2000.00


   3173. H + CH3CO2H  => H2 + 0.75OH + 0.25CO2 + 0.25CH3 + 0.75CH2CO 
         k:       1.200000e+07	    2.00       6349.34


   3174. CH3 + CH3CO2H  => 0.75OH + 0.25CO2 + CH4 + 0.25CH3 + 0.75CH2CO 
         k:       1.200000e+05	    2.00       7443.70


   3175. C2H3 + CH3CO2H  => 0.75OH + 0.25CO2 + 0.25CH3 + C2H4 + 0.75CH2CO 
         k:       2.712000e+05	    2.00       6239.48


   3176. C2H5 + CH3CO2H  => 0.75OH + 0.25CO2 + 0.25CH3 + C2H6 + 0.75CH2CO 
         k:       8.000000e+04	    2.00       9289.16


