-----------------------------------------------------------------------------------------------------------------------------------------------------
Name                              MW       Cp@298K        H@298K        G@298K        S@298K      Cp@1000K       H@1000K       G@1000K       S@1000K 
                           [kg/kmol]   [cal/mol/K]    [kcal/mol]    [kcal/mol]   [cal/mol/K]   [cal/mol/K]    [kcal/mol]    [kcal/mol]   [cal/mol/K] 
-----------------------------------------------------------------------------------------------------------------------------------------------------
O2C2H4O2H                    93.0580       26.8099      -26.6911      -55.2756       95.9212       45.3977       -0.2540     -139.4953      139.2413
HO2CH2CHO                    76.0510       20.6214     -139.3270     -162.0109       76.1203       39.4171     -116.3303     -229.8352      113.5048
CH3OCHO                      60.0520        1.2557      -79.3838     -103.6204       81.3311       24.5646      -71.7501     -163.4947       91.7446
CH3OCO                       59.0440       16.1697      -38.1024      -59.6613       72.3452       28.8394      -21.6691     -120.7858       99.1167
C3H8                         44.0970       17.3105      -25.0441      -44.2820       64.5567       41.6350       -2.9468     -102.6428       99.6960
IC3H7                        43.0890       15.2979       21.5118        0.8678       69.2752       36.7275       40.8893      -59.1890      100.0783
NC3H7                        43.0890       16.8486       24.1974        3.5210       69.3840       37.4823       44.4558      -57.3491      101.8049
C3H6                         42.0810       15.1050        6.1921      -12.7659       63.6175       34.2585       24.5835      -68.4120       92.9955
C3H5-A                       41.0730       14.8729       42.0737       23.7163       61.6020       31.8772       59.6292      -30.1722       89.8014
C3H5-S                       41.0730       15.4022       63.3425       44.0684       64.6782       30.9617       80.4739      -11.8483       92.3222
C3H5-T                       41.0730       15.1538       59.7731       40.4552       64.8252       31.0259       76.7093      -15.3766       92.0859
C3H5O                        57.0720       18.2180       23.8500        2.0472       73.1637       36.5864       44.2833      -61.8754      106.1587
C3H6O                        58.0800       17.1276      -22.1876      -42.2232       67.2337       39.8057       -0.6715     -102.2427      101.5712
CH3CHCHO                     57.0720       16.8788       -4.9935      -25.6057       69.1683       36.1887       14.8333      -86.1637      100.9971
AC4H7OOH                     88.1060       28.2679      -12.7688      -40.1496       91.8821       58.4746       19.4486     -124.3068      143.7554
CH3CHCO                      56.0640       17.8583      -19.6127      -39.8113       67.7807       32.8795       -0.7265      -99.2499       98.5234
AC3H5OOH                     74.0790       24.9053      -10.2500      -34.7074       82.0719       44.5786       15.3258     -108.4492      123.7750
C3H6OH1-2                    59.0880       19.0539      -15.2694      -39.4268       81.0653       41.7653        7.3570     -109.9547      117.3117
C3H6OH2-1                    59.0880       20.4311      -24.3974      -47.3212       76.9256       41.0843       -1.5303     -115.3709      113.8406
HOC3H6O2                     91.0860       28.2856      -50.7284      -78.3381       92.6503       52.7583      -20.6408     -162.1924      141.5516
SC3H5OH                      58.0800       19.9253      -37.0139      -57.9718       70.3287       39.6774      -14.6533     -121.1442      106.4908
C3H5OH                       58.0800       18.9004      -34.9085      -55.9306       70.5442       39.9429      -12.9791     -118.7741      105.7949
CH2CCH2OH                    57.0720       18.0863       27.0705        4.3525       76.2349       34.8666       46.5885      -61.2567      107.8452
C3H4-P                       40.0650       14.4709       44.3066       26.6278       59.3247       27.6434       59.8581      -24.6801       84.5381
C3H4-A                       40.0650       13.9994       45.6247       28.2917       58.1644       27.9081       61.2681      -22.1801       83.4482
C3H3                         39.0570       15.5072       83.9979       65.7233       61.3240       24.7698       98.8103       13.0423       85.7680
C3H2                         38.0490       13.0737      125.7794      107.6526       60.8282       20.9376      138.3620       56.7883       81.5738
C2H5CHO                      58.0800       17.7528      -44.2787      -64.8362       68.9851       39.2010      -23.0144     -126.0523      103.0380
CH2CH2CHO                    57.0720       17.2571        4.2732      -18.0329       74.8528       35.4136       23.7112      -82.4341      106.1452
RALD3                        57.0720       18.6481       -5.5513      -26.5540       70.4786       39.3221       15.0859      -88.4131      103.4990
C2H3CHO                      56.0640       17.0182      -16.2867      -38.1956       73.5196       33.9169        2.7259     -101.5181      104.2440
CH3COCH3                     58.0800       17.4246      -51.3728      -72.4133       70.6057       38.6175      -30.4676     -134.5371      104.0695
CH3COCH2                     57.0720       17.2329       -7.9849      -29.8761       73.4605       34.8212       11.3727      -93.3253      104.6980
NC4H10                       58.1240       23.3318      -30.1143      -52.1544       73.9601       54.1630       -1.0852     -121.3427      120.2575
PC4H9                        57.1160       22.7759       17.2096       -6.1800       78.4885       50.5683       44.3926      -77.6055      121.9981
SC4H9                        57.1160       22.7128       14.0408       -9.1376       77.7799       50.3121       40.9855      -79.9157      120.9012
IC4H10                       58.1240       23.1338      -32.2684      -53.2098       70.2731       54.4550       -3.1859     -119.7983      116.6124
IC4H9                        57.1160       22.3286       15.1366       -7.5308       76.0654       50.9084       42.5886      -77.3323      119.9209
TC4H9                        57.1160       22.3229        9.9948      -11.7490       72.9655       50.8343       37.4386      -79.3782      116.8167
IC4H8                        56.1080       21.4259       -3.8155      -24.6663       69.9691       46.8863       21.5496      -89.0533      110.6029
IC4H7                        55.1000       21.7726       29.6743        7.8337       73.2907       47.1142       54.9786      -58.8309      113.8094
IC4H7O                       71.0990       23.6167       13.8955      -10.1020       80.5285       48.3869       40.6545      -82.9935      123.6479
C4H8-1                       56.1080       20.4828       -0.1147      -22.0476       73.6003       47.0090       25.1344      -88.7678      113.9022
C4H8-2                       56.1080       20.7979       -2.7497      -23.7481       70.4645       46.4619       22.2075      -88.1627      110.3702
C4H71-3                      55.1000       19.8838       31.9686       10.3080       72.6866       44.3003       56.0878      -55.2163      111.3041
C4H71-4                      55.1000       19.9161       47.9647       25.6490       74.8848       44.0682       71.8895      -41.3062      113.1958
C4H71-O                      71.0990       23.0648       12.9200      -11.0129       80.3119       49.8729       40.5123      -84.1050      124.6173
C4H6                         54.0920       18.0136       26.4147        5.5651       69.9650       39.0403       47.6421      -56.3629      104.0050
C4H5                         53.0840       18.9041       85.9988       64.2522       72.9750       38.8365      107.7633       -0.3049      108.0683
C4H4                         52.0760       17.1055       68.7956       49.0473       66.2693       32.5825       87.3577       -9.0436       96.4013
C4H3                         51.0680       17.8066      129.8430      109.2757       69.0181       30.4964      147.8067       49.3587       98.4480
C4H2                         50.0600       17.5564      110.0102       92.2468       59.6086       26.5855      126.3093       39.6341       86.6752
C6H6                         78.1140       19.2860       19.7960        0.6378       64.2893       50.3393       46.7608      -60.2450      107.0058
FULVENE                      78.1140       21.3261       51.6414       30.8452       69.7859       50.2295       78.9312      -34.3868      113.3180
C6H5                         77.1060       18.1299       80.5994       60.2314       68.3492       46.6095      105.7441       -2.4975      108.2416
C5H6                         66.1030       18.3993       32.0329       12.5483       65.3847       45.7804       56.5752      -47.7861      104.3614
