-----------------------------------------------------------------------------------------------------------------------------------------------------
Name                              MW       Cp@298K        H@298K        G@298K        S@298K      Cp@1000K       H@1000K       G@1000K       S@1000K 
                           [kg/kmol]   [cal/mol/K]    [kcal/mol]    [kcal/mol]   [cal/mol/K]   [cal/mol/K]    [kcal/mol]    [kcal/mol]   [cal/mol/K] 
-----------------------------------------------------------------------------------------------------------------------------------------------------
     1800.0000     33.4350       86.1276       -96.6711      101.5548      40.5029       -124.9628     
     2000.0000     34.1995       92.8941       -117.3434     105.1188      47.2694       -145.6351     
     2200.0000     34.7957       99.7962       -138.7003     108.4075      54.1715       -166.9920     
     2400.0000     35.2535       106.8032      -160.6903     111.4556      61.1785       -188.9821     
     2600.0000     35.6002       113.8902      -183.2684     114.2918      68.2655       -211.5601     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE C3H3
 ====================================================================================================
   Elemental Composition:
     C 3.0000
     H 3.0000
   Formation Enthalpy at 298K =          83.9979 kcal/mol
   Formation Free Gibbs Energy at 298K = 65.7233 kcal/mol
   Molecular Weight =                    39.0570 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      15.5590       84.0289       65.6006       61.4279       0.0311        -0.1228       
     600.0000      20.9476       89.6035       45.1476       74.0932       5.6057        -20.5757      
     800.0000      23.0921       94.0178       29.6755       80.4279       10.0199       -36.0479      
     1000.0000     24.7698       98.8103       13.0423       85.7680       14.8124       -52.6811      
     1200.0000     26.1040       103.9028      -4.5852       90.4067       19.9049       -70.3086      
     1400.0000     27.1574       109.2332      -23.0850      94.5130       25.2353       -88.8084      
     1600.0000     27.9856       114.7508      -42.3623      98.1957       30.7529       -108.0856     
     1800.0000     28.6363       120.4156      -62.3402      101.5310      36.4177       -128.0635     
     2000.0000     29.1502       126.1962      -82.9553      104.5758      42.1983       -148.6786     
     2200.0000     29.5600       132.0687      -104.1541     107.3740      48.0709       -169.8774     
     2400.0000     29.8913       138.0150      -125.8908     109.9608      54.0171       -191.6142     
     2600.0000     30.1621       144.0212      -148.1262     112.3644      60.0233       -213.8495     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE C3H2
 ====================================================================================================
   Elemental Composition:
     C 3.0000
     H 2.0000
   Formation Enthalpy at 298K =          125.7794 kcal/mol
   Formation Free Gibbs Energy at 298K = 107.6526 kcal/mol
   Molecular Weight =                    38.0490 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      13.1165       125.8056      107.5308      60.9158       0.0262        -0.1217       
     600.0000      17.8509       130.5267      87.5461       71.6343       4.7473        -20.1065      
     800.0000      19.6844       134.2927      72.6617       77.0388       8.5134        -34.9909      
     1000.0000     20.9376       138.3620      56.7883       81.5738       12.5827       -50.8643      
     1200.0000     21.8725       142.6469      40.0742       85.4773       16.8675       -67.5784      
     1400.0000     22.6208       147.0988      22.6288       88.9071       21.3195       -85.0238      
     1600.0000     23.2228       151.6854      4.5358        91.9685       25.9061       -103.1168     
     1800.0000     23.7016       156.3798      -14.1388      94.7325       30.6004       -121.7914     
     2000.0000     24.0778       161.1592      -33.3408      97.2500       35.3799       -140.9934     
     2200.0000     24.3700       166.0053      -53.0249      99.5592       40.2259       -160.6775     
     2400.0000     24.5945       170.9027      -73.1526      101.6897      45.1234       -180.8052     
     2600.0000     24.7657       175.8395      -93.6905      103.6654      50.0602       -201.3431     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE C2H5CHO
 ====================================================================================================
   Elemental Composition:
     C 3.0000
     H 6.0000
     O 1.0000
   Formation Enthalpy at 298K =          -44.2787 kcal/mol
   Formation Free Gibbs Energy at 298K = -64.8362 kcal/mol
   Molecular Weight =                    58.0800 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      17.8502       -44.2431      -64.9743      69.1042       0.0356        -0.1381       
     600.0000      29.7031       -36.9817      -88.2260      85.4072       7.2969        -23.3898      
     800.0000      35.1509       -30.4693      -106.2590     94.7371       13.8093       -41.4228      
     1000.0000     39.2010       -23.0144      -126.0523     103.0380      21.2643       -61.2161      
     1200.0000     42.2423       -14.8560      -147.4161     110.4668      29.4227       -82.5799      
     1400.0000     44.5775       -6.1643       -170.1901     117.1613      38.1143       -105.3539     
     1600.0000     46.4242       2.9426        -194.2395     123.2389      47.2213       -129.4033     
     1800.0000     47.9143       12.3818       -219.4510     128.7960      56.6604       -154.6148     
     2000.0000     49.1089       22.0887       -245.7283     133.9085      66.3673       -180.8921     
     2200.0000     50.0488       32.0083       -272.9887     138.6350      76.2870       -208.1525     
     2400.0000     50.7731       42.0938       -301.1597     143.0223      86.3725       -236.3235     
     2600.0000     51.3194       52.3057       -330.1776     147.1090      96.5844       -265.3414     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE CH2CH2CHO
 ====================================================================================================
   Elemental Composition:
     C 3.0000
     H 5.0000
     O 1.0000
   Formation Enthalpy at 298K =          4.2732 kcal/mol
   Formation Free Gibbs Energy at 298K = -18.0329 kcal/mol
   Molecular Weight =                    57.0720 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      17.3326       4.3078        -18.1827      74.9685       0.0346        -0.1498       
     600.0000      27.0931       11.0518       -43.0439      90.1595       6.7785        -25.0110      
     800.0000      31.8459       16.9676       -61.9413      98.6361       12.6944       -43.9084      
     1000.0000     35.4136       23.7112       -82.4341      106.1452      19.4379       -64.4012      
     1200.0000     38.0453       31.0707       -104.3456     112.8470      26.7975       -86.3127      
     1400.0000     39.9601       38.8816       -127.5272     118.8634      34.6083       -109.4943     
     1600.0000     41.3465       47.0196       -151.8520     124.2948      42.7464       -133.8191     
     1800.0000     42.3619       55.3955       -177.2118     129.2263      51.1223       -159.1789     
     2000.0000     43.1333       63.9482       -203.5141     133.7311      59.6749       -185.4812     
     2200.0000     43.7567       72.6390       -230.6800     137.8723      68.3658       -212.6471     
     2400.0000     44.2975       81.4454       -258.6424     141.7032      77.1722       -240.6095     
     2600.0000     44.7901       90.3548       -287.3437     145.2687      86.0816       -269.3108     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE RALD3
 ====================================================================================================
   Elemental Composition:
     C 3.0000
     H 5.0000
     O 1.0000
   Formation Enthalpy at 298K =          -5.5513 kcal/mol
   Formation Free Gibbs Energy at 298K = -26.5540 kcal/mol
   Molecular Weight =                    57.0720 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      18.7022       -5.5140       -26.6951      70.6036       0.0374        -0.1411       
     600.0000      28.0665       1.4617        -50.3465      86.3470       7.0131        -23.7925      
     800.0000      34.2480       7.7063        -68.5230      95.2866       13.2576       -41.9690      
     1000.0000     39.3221       15.0859       -88.4131      103.4990      20.6372       -61.8591      
     1200.0000     42.9939       23.3405       -109.8761     111.0138      28.8918       -83.3221      
     1400.0000     45.4427       32.2018       -132.7726     117.8388      37.7531       -106.2186     
     1600.0000     46.9823       41.4570       -156.9684     124.0159      47.0084       -130.4144     
     1800.0000     47.8836       50.9523       -182.3398     129.6067      56.5036       -155.7858     
     2000.0000     48.3693       60.5829       -208.7765     134.6797      66.1342       -182.2225     
     2200.0000     48.6134       70.2840       -236.1817     139.3026      75.8353       -209.6277     
     2400.0000     48.7417       80.0206       -264.4718     143.5385      85.5720       -237.9178     
     2600.0000     48.8312       89.7782       -293.5751     147.4436      95.3295       -267.0211     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE C2H3CHO
 ====================================================================================================
   Elemental Composition:
     C 3.0000
     H 4.0000
     O 1.0000
   Formation Enthalpy at 298K =          -16.2867 kcal/mol
   Formation Free Gibbs Energy at 298K = -38.1956 kcal/mol
   Molecular Weight =                    56.0640 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      17.0994       -16.2526      -38.3427      73.6337       0.0341        -0.1472       
     600.0000      26.7204       -9.5613       -62.7866      88.7088       6.7254        -24.5910      
     800.0000      30.9167       -3.7739       -81.3775      97.0045       12.5128       -43.1819      
     1000.0000     33.9169       2.7259        -101.5181     104.2440      19.0126       -63.3225      
     1200.0000     36.1042       9.7389        -123.0184     110.6310      26.0256       -84.8228      
     1400.0000     37.7623       17.1325       -145.7245     116.3264      33.4192       -107.5289     
     1600.0000     39.0753       24.8210       -169.5114     121.4577      41.1078       -131.3158     
     1800.0000     40.1318       32.7456       -194.2766     126.1235      49.0324       -156.0810     
     2000.0000     40.9696       40.8592       -219.9347     130.3969      57.1459       -181.7391     
     2200.0000     41.6209       49.1211       -246.4129     134.3336      65.4078       -208.2173     
     2400.0000     42.1160       57.4971       -273.6486     137.9774      73.7839       -235.4530     
     2600.0000     42.4836       65.9590       -301.5867     141.3637      82.2457       -263.3912     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE CH3COCH3
 ====================================================================================================
   Elemental Composition:
     C 3.0000
     H 6.0000
     O 1.0000
   Formation Enthalpy at 298K =          -51.3728 kcal/mol
   Formation Free Gibbs Energy at 298K = -72.4133 kcal/mol
   Molecular Weight =                    58.0800 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      17.5198       -51.3379      -72.5546      70.7225       0.0349        -0.1413       
     600.0000      29.1791       -44.2101      -96.2449      86.7246       7.1626        -23.8316      
     800.0000      34.5848       -37.8075      -114.5251     95.8970       13.5653       -42.1118      
     1000.0000     38.6175       -30.4676      -134.5371     104.0695      20.9052       -62.1238      
     1200.0000     41.6410       -22.4276      -156.0961     111.3905      28.9452       -83.6828      
     1400.0000     43.9455       -13.8590      -179.0452     117.9902      37.5138       -106.6319     
     1600.0000     45.7479       -4.8827       -203.2516     123.9806      46.4901       -130.8383     
     1800.0000     47.1914       4.4164        -228.6031     129.4553      55.7892       -156.1898     
     2000.0000     48.3498       13.9750       -255.0044     134.4897      65.3477       -182.5911     
     2200.0000     49.2619       23.7399       -282.3736     139.1425      75.1127       -209.9603     
     2400.0000     49.9636       33.6657       -310.6391     143.4603      85.0385       -238.2258     
     2600.0000     50.4902       43.7137       -339.7379     147.4814      95.0865       -267.3246     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE CH3COCH2
 ====================================================================================================
   Elemental Composition:
     C 3.0000
     H 5.0000
     O 1.0000
   Formation Enthalpy at 298K =          -7.9849 kcal/mol
   Formation Free Gibbs Energy at 298K = -29.8761 kcal/mol
   Molecular Weight =                    57.0720 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      17.3145       -7.9504       -30.0232      73.5761       0.0345        -0.1470       
     600.0000      27.1271       -1.1720       -54.4789      88.8448       6.8129        -24.6027      
     800.0000      31.5548       4.7189        -73.1113      97.2879       12.7039       -43.2352      
     1000.0000     34.8212       11.3727       -93.3253      104.6980      19.3576       -63.4492      
     1200.0000     37.2789       18.5937       -114.9350     111.2740      26.5786       -85.0589      
     1400.0000     39.1897       26.2480       -137.7896     117.1697      34.2329       -107.9135     
     1600.0000     40.7249       34.2448       -161.7657     122.5066      42.2297       -131.8896     
     1800.0000     41.9698       42.5187       -186.7613     127.3778      50.5036       -156.8851     
     2000.0000     42.9663       51.0162       -212.6905     131.8533      59.0011       -182.8143     
     2200.0000     43.7509       59.6911       -239.4798     135.9868      67.6760       -209.6037     
     2400.0000     44.3582       68.5047       -267.0653     139.8208      76.4896       -237.1891     
     2600.0000     44.8204       77.4247       -295.3905     143.3905      85.4096       -265.5144     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE NC4H10
 ====================================================================================================
   Elemental Composition:
     C 4.0000
     H 10.0000
   Formation Enthalpy at 298K =          -30.1143 kcal/mol
   Formation Free Gibbs Energy at 298K = -52.1544 kcal/mol
   Molecular Weight =                    58.1240 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      23.4716       -30.0675      -52.3025      74.1166       0.0468        -0.1481       
     600.0000      40.5046       -20.2874      -77.9066      96.0321       9.8269        -25.7522      
     800.0000      48.3401       -11.3641      -98.4148      108.8133      18.7502       -46.2604      
     1000.0000     54.1630       -1.0852       -121.3427     120.2575      29.0291       -69.1883      
     1200.0000     58.5304       10.2044       -146.4401     130.5371      40.3186       -94.2857      
     1400.0000     61.8824       22.2595       -173.4913     139.8220      52.3738       -121.3369     
     1600.0000     64.5421       34.9114       -202.3129     148.2652      65.0257       -150.1585     
     1800.0000     66.7159       48.0442       -232.7500     155.9968      78.1585       -180.5956     
     2000.0000     68.4982       61.5718       -264.6712     163.1215      91.6861       -212.5168     
     2200.0000     69.9269       75.4199       -297.9635     169.7197      105.5342      -245.8091     
     2400.0000     71.0392       89.5215       -332.5282     175.8540      119.6358      -280.3738     
     2600.0000     71.8761       103.8172      -368.2776     181.5749      133.9315      -316.1232     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE PC4H9
 ====================================================================================================
   Elemental Composition:
     C 4.0000
     H 9.0000
   Formation Enthalpy at 298K =          17.2096 kcal/mol
   Formation Free Gibbs Energy at 298K = -6.1800 kcal/mol
   Molecular Weight =                    57.1160 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      22.8987       17.2552       -6.3371       78.6413       0.0457        -0.1571       
     600.0000      37.8084       26.5190       -33.1508      99.4497       9.3095        -26.9707      
     800.0000      44.9284       34.8213       -54.2528      111.3427      17.6118       -48.0728      
     1000.0000     50.5683       44.3926       -77.6055      121.9981      27.1830       -71.4255      
     1200.0000     54.9925       54.9678       -102.9837     131.6262      37.7582       -96.8037      
     1400.0000     58.3361       66.3175       -130.1970     140.3675      49.1080       -124.0169     
     1600.0000     60.7328       78.2391       -159.0784     148.3234      61.0295       -152.8984     
     1800.0000     62.3210       90.5567       -189.4794     155.5757      73.3472       -183.2994     
     2000.0000     63.2430       103.1230      -221.2665     162.1948      85.9135       -215.0865     
     2200.0000     63.6455       115.8193      -254.3194     168.2449      98.6098       -248.1394     
     2400.0000     63.6793       128.5567      -288.5305     173.7863      111.3471      -282.3505     
     2600.0000     63.4996       141.2768      -323.8039     178.8772      124.0672      -317.6239     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE SC4H9
 ====================================================================================================
   Elemental Composition:
     C 4.0000
     H 9.0000
   Formation Enthalpy at 298K =          14.0408 kcal/mol
   Formation Free Gibbs Energy at 298K = -9.1376 kcal/mol
   Molecular Weight =                    57.1160 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      22.8308       14.0864       -9.2933       77.9322       0.0455        -0.1557       
     600.0000      37.3777       23.2589       -35.8678      98.5445       9.2180        -26.7302      
     800.0000      44.5496       31.4776       -56.7760      110.3170      17.4368       -47.6384      
     1000.0000     50.3121       40.9855       -79.9157      120.9012      26.9447       -70.7781      
     1200.0000     54.8333       51.5197       -105.0703     130.4917      37.4789       -95.9328      
     1400.0000     58.2408       62.8446       -132.0545     139.2137      48.8038       -122.9170     
     1600.0000     60.6684       74.7507       -160.7041     147.1593      60.7099       -151.5665     
     1800.0000     62.2564       87.0560       -190.8715     154.4042      73.0152       -181.7340     
     2000.0000     63.1514       99.6071       -222.4235     161.0153      85.5663       -213.2860     
     2200.0000     63.5061       112.2805      -255.2395     167.0546      98.2397       -246.1020     
     2400.0000     63.4799       124.9841      -289.2112     172.5814      110.9433      -280.0736     
     2600.0000     63.2384       137.6581      -324.2418     177.6538      123.6173      -315.1042     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE IC4H10
 ====================================================================================================
   Elemental Composition:
     C 4.0000
     H 10.0000
   Formation Enthalpy at 298K =          -32.2684 kcal/mol
   Formation Free Gibbs Energy at 298K = -53.2098 kcal/mol
   Molecular Weight =                    58.1240 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      23.2771       -32.2220      -53.3505      70.4283       0.0464        -0.1407       
     600.0000      40.5670       -22.4523      -77.8381      92.3096       9.8161        -24.6283      
     800.0000      48.4918       -13.5081      -97.6044      105.1204      18.7603       -44.3946      
     1000.0000     54.4550       -3.1859       -119.7983     116.6124      29.0825       -66.5884      
     1200.0000     58.9952       8.1795        -144.1732     126.9606      40.4480       -90.9634      
     1400.0000     62.4312       20.3390       -170.5170     136.3257      52.6074       -117.3072     
     1600.0000     64.9281       33.0894       -198.6465     144.8349      65.3578       -145.4367     
     1800.0000     66.6261       46.2570       -228.4006     152.5875      78.5254       -175.1908     
     2000.0000     67.6664       59.6960       -259.6366     159.6663      91.9644       -206.4268     
     2200.0000     68.1917       73.2892       -292.2270     166.1437      105.5576      -239.0172     
     2400.0000     68.3455       86.9479       -326.0584     172.0860      119.2163      -272.8486     
     2600.0000     68.2727       100.6123      -361.0299     177.5547      132.8807      -307.8200     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE IC4H9
 ====================================================================================================
   Elemental Composition:
     C 4.0000
     H 9.0000
   Formation Enthalpy at 298K =          15.1366 kcal/mol
   Formation Free Gibbs Energy at 298K = -7.5308 kcal/mol
   Molecular Weight =                    57.1160 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      22.4605       15.1814       -7.6831       76.2152       0.0448        -0.1523       
     600.0000      38.3605       24.4843       -33.7596      97.0732       9.3476        -26.2288      
     800.0000      45.5724       32.9141       -54.4051      109.1491      17.7775       -46.8743      
     1000.0000     50.9084       42.5886       -77.3323      119.9209      27.4519       -69.8015      
     1200.0000     54.9003       53.1883       -102.2988     129.5726      38.0516       -94.7680      
     1400.0000     57.9166       64.4840       -129.0980     138.2728      49.3474       -121.5671     
     1600.0000     60.1661       76.3040       -157.5539     146.1612      61.1674       -150.0231     
     1800.0000     61.7612       88.5068       -187.5156     153.3458      73.3702       -179.9847     
     2000.0000     62.8052       100.9718      -218.8510     159.9114      85.8351       -211.3202     
     2200.0000     63.4044       113.5992      -251.4436     165.9286      98.4626       -243.9128     
     2400.0000     63.6684       126.3112      -285.1900     171.4588      111.1745      -277.6591     
     2600.0000     63.7095       139.0517      -319.9984     176.5577      123.9151      -312.4675     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE TC4H9
 ====================================================================================================
   Elemental Composition:
     C 4.0000
     H 9.0000
   Formation Enthalpy at 298K =          9.9948 kcal/mol
   Formation Free Gibbs Energy at 298K = -11.7490 kcal/mol
   Molecular Weight =                    57.1160 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      22.4556       10.0395       -11.8950      73.1153       0.0448        -0.1461       
     600.0000      38.3706       19.3471       -37.0430      93.9836       9.3523        -25.2941      
     800.0000      45.5403       27.7750       -57.0705      106.0569      17.7802       -45.3216      
     1000.0000     50.8343       37.4386       -79.3782      116.8167      27.4438       -67.6292      
     1200.0000     54.8015       48.0206       -103.7223     126.4525      38.0259       -91.9734      
     1400.0000     57.8109       59.2957       -129.8958     135.1368      49.3009       -118.1469     
     1600.0000     60.0590       71.0944       -157.7231     143.0110      61.0997       -145.9741     
     1800.0000     61.6539       83.2758       -187.0534     150.1829      73.2810       -175.3045     
     2000.0000     62.6988       95.7193       -217.7551     156.7372      85.7245       -206.0062     
     2200.0000     63.2999       108.3257      -249.7119     162.7443      98.3309       -237.9629     
     2400.0000     63.5665       121.0170      -282.8205     168.2656      111.0222      -271.0715     
     2600.0000     63.6104       133.7374      -316.9894     173.3565      123.7427      -305.2405     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE IC4H8
 ====================================================================================================
   Elemental Composition:
     C 4.0000
     H 8.0000
   Formation Enthalpy at 298K =          -3.8155 kcal/mol
   Formation Free Gibbs Energy at 298K = -24.6663 kcal/mol
   Molecular Weight =                    56.1080 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      21.5370       -3.7726       -24.8064      70.1127       0.0430        -0.1401       
     600.0000      35.3373       4.8931        -48.8565      89.5828       8.7086        -24.1902      
     800.0000      41.9054       12.6473       -67.9056      100.6911      16.4628       -43.2393      
     1000.0000     46.8863       21.5496       -89.0533      110.6029      25.3651       -64.3870      
     1200.0000     50.6525       31.3210       -112.0792     119.5002      35.1365       -87.4129      
     1400.0000     53.5125       41.7503       -136.7958     127.5330      45.5659       -112.1295     
     1600.0000     55.7106       52.6820       -163.0433     134.8283      56.4975       -138.3770     
     1800.0000     57.4273       64.0026       -190.6852     141.4932      67.8182       -166.0189     
     2000.0000     58.7811       75.6288       -219.6045     147.6167      79.4443       -194.9382     
     2200.0000     59.8515       87.4962       -249.7006     153.2713      91.3117       -225.0343     
     2400.0000     60.7023       99.5548       -280.8858     158.5169      103.3703      -256.2195     
     2600.0000     61.3835       111.7658      -313.0834     163.4036      115.5814      -288.4171     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE IC4H7
 ====================================================================================================
   Elemental Composition:
     C 4.0000
     H 7.0000
   Formation Enthalpy at 298K =          29.6743 kcal/mol
   Formation Free Gibbs Energy at 298K = 7.8337 kcal/mol
   Molecular Weight =                    55.1000 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      21.8691       29.7179       7.6869        73.4366       0.0436        -0.1467       
     600.0000      35.0657       38.3343       -17.3553      92.8161       8.6600        -25.1890      
     800.0000      41.8711       46.0562       -37.0449      103.8763      16.3819       -44.8786      
     1000.0000     47.1142       54.9786       -58.8309      113.8094      25.3043       -66.6645      
     1200.0000     51.0499       64.8147       -82.5036      122.7653      35.1404       -90.3372      
     1400.0000     53.9132       75.3271       -107.8797     130.8620      45.6528       -115.7134     
     1600.0000     55.9164       86.3227       -134.7978     138.2003      56.6484       -142.6315     
     1800.0000     57.2500       97.6491       -163.1153     144.8691      67.9748       -170.9489     
     2000.0000     58.0818       109.1893      -192.7061     150.9477      79.5150       -200.5398     
     2200.0000     58.5574       120.8581      -223.4598     156.5081      91.1838       -231.2935     
     2400.0000     58.8004       132.5968      -255.2792     161.6150      102.9225      -263.1128     
     2600.0000     58.9116       144.3695      -288.0795     166.3265      114.6952      -295.9131     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE IC4H7O
 ====================================================================================================
   Elemental Composition:
     C 4.0000
     H 7.0000
     O 1.0000
   Formation Enthalpy at 298K =          13.8955 kcal/mol
   Formation Free Gibbs Energy at 298K = -10.1020 kcal/mol
   Molecular Weight =                    71.0990 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      23.7292       13.9429       -10.2632      80.6869       0.0473        -0.1612       
     600.0000      37.4464       23.2667       -37.7417      101.6805      9.3711        -27.6397      
     800.0000      43.7451       31.4175       -59.2716      113.3614      17.5220       -49.1696      
     1000.0000     48.3869       40.6545       -82.9935      123.6479      26.7589       -72.8915      
     1200.0000     51.8090       50.6912       -108.6544     132.7880      36.7956       -98.5525      
     1400.0000     54.3646       61.3205       -136.0452     140.9755      47.4249       -125.9433     
     1600.0000     56.3236       72.3974       -164.9917     148.3682      58.5019       -154.8897     
     1800.0000     57.8717       83.8227       -195.3482     155.0949      69.9272       -185.2462     
     2000.0000     59.1143       95.5259       -226.9922     161.2590      81.6303       -216.8902     
     2200.0000     60.1107       107.4520      -259.8197     166.9417      93.5565       -249.7178     
     2400.0000     60.9087       119.5569      -293.7411     172.2075      105.6614      -283.6392     
     2600.0000     61.5477       131.8049      -328.6785     177.1090      117.9094      -318.5765     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE C4H8-1
 ====================================================================================================
   Elemental Composition:
     C 4.0000
     H 8.0000
   Formation Enthalpy at 298K =          -0.1147 kcal/mol
   Formation Free Gibbs Energy at 298K = -22.0476 kcal/mol
   Molecular Weight =                    56.1080 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
